benchmark,case_index,cells_per_side,cell_a,cell_b,current_mismatch,admissible_root_count,dense_minimum_mismatch,dense_minimum_parameter
ellipses,3,64,"(43, 35)","(43, 36)",9.147804911435864e-12,2,0.0,0.22775427156462683
ellipses,3,64,"(43, 36)","(43, 37)",1.0053571163863418e-11,1,0.0,0.28989618129334305
ellipses,3,64,"(43, 37)","(43, 38)",1.582616441990865e-11,1,0.0,0.3864890855716658
ellipses,3,64,"(43, 38)","(43, 39)",1.628243941336078e-11,1,0.0,0.5191910759345411
ellipses,3,64,"(43, 39)","(43, 40)",1.830785903953381e-11,1,0.0,0.6901429124733386
ellipses,3,64,"(43, 40)","(43, 41)",9.111231962816286e-10,2,0.0,0.9021557039702021
lines,3,64,"(0, 1)","(0, 2)",0.9826430248935522,0,0.11950335012577741,1.0
lines,3,64,"(1, 2)","(1, 3)",9.903914792346433e-09,1,0.0,0.930456904276147
lines,3,64,"(1, 3)","(2, 3)",2.8297532981963494e-10,1,0.0,0.8737613154158463
lines,3,64,"(2, 3)","(2, 4)",5.678532099210865e-10,1,0.0,0.865568998650898
lines,3,64,"(2, 4)","(3, 4)",3.3259947977201117e-10,1,0.0,0.8128235375367757
lines,3,64,"(3, 4)","(3, 5)",4.967976663169088e-10,1,0.0,0.8006772906039692
lines,3,64,"(3, 5)","(4, 5)",1.4135663483817896e-10,1,0.0,0.7518860296172466
lines,3,64,"(4, 5)","(4, 6)",1.938317571590386e-10,1,0.0,0.7357854562264936
lines,3,64,"(4, 6)","(5, 6)",5.6095376571075664e-11,1,0.0,0.6909485346397549
lines,3,64,"(5, 6)","(5, 7)",8.597479876686316e-11,1,0.0,0.6708936161942415
lines,3,64,"(5, 7)","(6, 7)",3.0888349553643894e-11,1,0.0,0.6300110404030193
lines,3,64,"(6, 7)","(6, 8)",5.6111353890912875e-12,1,0.0,0.6060017759011099
lines,3,64,"(6, 8)","(7, 8)",3.76616392837226e-11,1,0.0,0.5690735462039412
lines,3,64,"(7, 8)","(7, 9)",3.354234293425974e-11,1,0.0,0.5411099355868919
lines,3,64,"(7, 9)","(8, 9)",3.324499354041329e-11,1,0.0,0.5081360520198291
lines,3,64,"(8, 9)","(8, 10)",3.414214355548098e-11,1,0.0,0.4762180952617268
lines,3,64,"(8, 10)","(9, 10)",1.2661143007526748e-11,1,0.0,0.4471985578405861
lines,3,64,"(9, 10)","(9, 11)",1.7396185965988092e-11,1,0.0,0.4113262549341527
lines,3,64,"(9, 11)","(10, 11)",2.9523979947759914e-11,1,0.0,0.38626106365733676
lines,3,64,"(10, 11)","(10, 12)",1.81472518950552e-11,1,0.0,0.3464344146064127
lines,3,64,"(10, 12)","(11, 12)",8.805206710247636e-12,1,0.0,0.32532356948365077
lines,3,64,"(11, 12)","(11, 13)",6.9223126549641864e-12,1,0.0,0.2815425742589741
lines,3,64,"(11, 13)","(12, 13)",4.276791141858527e-11,1,0.0,0.2643860753525814
lines,3,64,"(12, 13)","(12, 14)",3.358375894000483e-11,1,0.0,0.2166507336034101
lines,3,64,"(12, 14)","(13, 14)",6.051328641923013e-11,1,0.0,0.20344858194967855
lines,3,64,"(13, 14)","(13, 15)",7.193916180500811e-11,1,0.0,0.1517588863208016
lines,3,64,"(13, 15)","(14, 15)",4.435498861633454e-11,1,0.0,0.14251110297756894
lines,3,64,"(14, 15)","(14, 16)",5.24439065189576e-10,1,0.0,0.08686685745712794
lines,3,64,"(14, 16)","(15, 16)",7.966260719213761e-11,1,0.0,0.08157399400215126
lines,3,64,"(15, 16)","(15, 17)",2.453840253267373e-07,0,2.453840253267373e-07,0.02196694184595117
lines,3,64,"(15, 17)","(16, 17)",0.0006591415110708566,0,0.0006591415110708566,0.020651978715920904
lines,3,64,"(16, 17)","(17, 17)",0.01984826381789182,0,0.01984826381789182,0.9591961964515986
lines,3,64,"(17, 17)","(17, 18)",2.3082188265177397e-06,0,2.3082188265177397e-06,0.9573369389536605
lines,3,64,"(17, 18)","(18, 18)",2.1208578148871944e-09,1,0.0,0.8987460187237662
lines,3,64,"(18, 18)","(18, 19)",2.977509106420391e-10,1,0.0,0.8921987387095305
lines,3,64,"(18, 19)","(19, 19)",3.6296069736461743e-10,1,0.0,0.8378229506426101
lines,3,64,"(19, 19)","(19, 20)",3.223754864509398e-10,1,0.0,0.8272999884414594
lines,3,64,"(19, 20)","(20, 20)",2.2515997996743994e-10,1,0.0,0.7768860852319176
lines,3,64,"(20, 20)","(20, 21)",9.640429733506375e-11,1,0.0,0.7624078668454558
lines,3,64,"(20, 21)","(21, 21)",1.5149192916436015e-10,1,0.0,0.7159486253158776
lines,3,64,"(21, 21)","(21, 22)",1.7529874298957567e-11,1,0.0,0.6975160122520038
lines,3,64,"(21, 22)","(22, 22)",7.222353118849677e-11,1,0.0,0.6550111333173573
lines,3,64,"(22, 22)","(22, 23)",4.3163708546634066e-11,1,0.0,0.6326241710912199
lines,3,64,"(22, 23)","(23, 23)",8.44875344026364e-13,1,0.0,0.5940736392789949
lines,3,64,"(23, 23)","(23, 24)",5.0933721077603754e-11,1,0.0,0.5677323307047436
lines,3,64,"(23, 24)","(24, 24)",1.7838684514358256e-11,1,0.0,0.5331361451043812
lines,3,64,"(24, 24)","(24, 25)",3.7312151434403734e-11,1,0.0,0.5028404903873843
lines,3,64,"(24, 25)","(25, 25)",1.847857759964604e-11,1,0.0,0.47219865092572033
lines,3,64,"(25, 25)","(25, 26)",3.4308250037756713e-12,1,0.0,0.4379486500577332
lines,3,64,"(25, 26)","(26, 26)",3.8324611334493696e-11,1,0.0,0.41126115674201175
lines,3,64,"(26, 26)","(26, 27)",5.1843841472244714e-11,1,0.0,0.3730568097093237
lines,3,64,"(26, 27)","(27, 27)",3.201175129525509e-11,1,0.0,0.35032366261134484
lines,3,64,"(27, 27)","(27, 28)",1.3046282930369687e-11,1,0.0,0.3081649691596431
lines,3,64,"(27, 28)","(28, 28)",4.51830789944245e-11,1,0.0,0.28938616903216824
lines,3,64,"(28, 28)","(28, 29)",1.654984235992808e-11,1,0.0,0.24327312483918376
